"Date","Price","Open","High","Low","Vol.","Change %"
"17-04-2025","15.4675","15.8650","16.4625","15.0900","","-2.51%"
"16-04-2025","15.8650","16.1250","16.1250","15.1150","","-1.61%"
"15-04-2025","16.1250","20.1075","20.1075","15.9725","","-19.81%"
"11-04-2025","20.1075","21.4300","21.4300","18.8550","","-6.17%"
"09-04-2025","21.4300","20.4425","21.7475","19.6975","","4.83%"
"08-04-2025","20.4425","22.7925","22.7925","19.3825","","-10.31%"
"07-04-2025","22.7925","13.7550","23.1875","13.7550","","65.70%"
"04-04-2025","13.7550","13.6000","14.2475","13.3950","","1.14%"
"03-04-2025","13.6000","13.7225","14.1075","13.4100","","-0.89%"
"02-04-2025","13.7225","13.7825","14.1425","13.5125","","-0.44%"
"01-04-2025","13.7825","12.7175","14.0525","12.7175","","8.37%"
"28-03-2025","12.7175","13.3000","13.6100","12.5725","","-4.38%"
"27-03-2025","13.3000","13.4700","13.8500","12.9775","","-1.26%"
"26-03-2025","13.4700","13.6350","13.9150","13.3050","","-1.21%"
"25-03-2025","13.6350","13.7000","14.4750","13.4900","","-0.47%"
"24-03-2025","13.7000","12.5750","13.9525","12.5750","","8.95%"
"21-03-2025","12.5750","12.6025","12.8350","10.6950","","-0.22%"
"20-03-2025","12.6025","13.2975","13.2975","12.5125","","-5.23%"
"19-03-2025","13.2975","13.2100","13.5725","12.5850","","0.66%"
"18-03-2025","13.2100","13.4150","13.6525","11.3425","","-1.53%"
"17-03-2025","13.4150","13.2800","14.0975","13.2800","","1.02%"
"13-03-2025","13.2800","13.6925","13.9275","13.2225","","-3.01%"
"12-03-2025","13.6925","14.0725","14.3725","13.6350","","-2.70%"
"11-03-2025","14.0725","13.9850","14.5025","13.6750","","0.63%"
"10-03-2025","13.9850","13.4700","14.2075","13.4700","","3.82%"
"07-03-2025","13.4700","13.7250","13.8600","13.3325","","-1.86%"
"06-03-2025","13.7250","13.6700","14.1775","13.2800","","0.40%"
"05-03-2025","13.6700","13.8300","14.1300","13.0950","","-1.16%"
"04-03-2025","13.8300","13.7625","14.1975","13.3725","","0.49%"
"03-03-2025","13.7625","13.9100","14.3600","13.5675","","-1.06%"
"28-02-2025","13.9100","13.3075","14.1225","13.2325","","4.53%"
"27-02-2025","13.3075","13.7150","14.0075","12.9100","","-2.97%"
"25-02-2025","13.7150","14.4425","15.0775","13.6050","","-5.04%"
"24-02-2025","14.4425","14.5300","15.5800","14.3650","","-0.60%"
"21-02-2025","14.5300","14.6825","15.2425","12.0825","","-1.04%"
"20-02-2025","14.6825","15.4200","15.9025","14.6375","","-4.78%"
"19-02-2025","15.4200","15.6650","16.0225","14.7525","","-1.56%"
"18-02-2025","15.6650","15.7225","16.3225","14.7800","","-0.37%"
"17-02-2025","15.7225","15.0150","16.3100","14.4975","","4.71%"
"14-02-2025","15.0150","14.9550","15.6775","14.3575","","0.40%"
"13-02-2025","14.9550","14.8950","15.4650","12.1950","","0.40%"
