"IndexName","Date","Total Returns Index"
"NIFTY 50","17 Apr 2025","35549.39"
"NIFTY 50","16 Apr 2025","34931.66"
"NIFTY 50","15 Apr 2025","34769.71"
"NIFTY 50","11 Apr 2025","34024.50"
"NIFTY 50","09 Apr 2025","33384.56"
"NIFTY 50","08 Apr 2025","33588.28"
"NIFTY 50","07 Apr 2025","33030.49"
"NIFTY 50","04 Apr 2025","34137.61"
"NIFTY 50","03 Apr 2025","34652.84"
"NIFTY 50","02 Apr 2025","34775.40"
"NIFTY 50","01 Apr 2025","34527.01"
"NIFTY 50","28 Mar 2025","35054.08"
"NIFTY 50","27 Mar 2025","35162.32"
"NIFTY 50","26 Mar 2025","35005.67"
"NIFTY 50","25 Mar 2025","35276.65"
"NIFTY 50","24 Mar 2025","35261.27"
"NIFTY 50","21 Mar 2025","34802.30"
"NIFTY 50","20 Mar 2025","34564.18"
"NIFTY 50","19 Mar 2025","34142.35"
"NIFTY 50","18 Mar 2025","34033.06"
"NIFTY 50","17 Mar 2025","33547.88"
"NIFTY 50","13 Mar 2025","33381.62"
"NIFTY 50","12 Mar 2025","33490.87"
"NIFTY 50","11 Mar 2025","33531.68"
"NIFTY 50","10 Mar 2025","33473.92"
"NIFTY 50","07 Mar 2025","33611.30"
"NIFTY 50","06 Mar 2025","33599.30"
"NIFTY 50","05 Mar 2025","33290.20"
"NIFTY 50","04 Mar 2025","32910.63"
"NIFTY 50","03 Mar 2025","32965.25"
"NIFTY 50","28 Feb 2025","32973.36"
"NIFTY 50","27 Feb 2025","33599.79"
"NIFTY 50","25 Feb 2025","33603.55"
"NIFTY 50","24 Feb 2025","33612.18"
"NIFTY 50","21 Feb 2025","33973.61"
"NIFTY 50","20 Feb 2025","34148.36"
"NIFTY 50","19 Feb 2025","34177.82"
"NIFTY 50","18 Feb 2025","34196.32"
"NIFTY 50","17 Feb 2025","34217.48"
"NIFTY 50","14 Feb 2025","34172.38"
"NIFTY 50","13 Feb 2025","34324.31"
"NIFTY 50","12 Feb 2025","34344.93"
"NIFTY 50","11 Feb 2025","34364.39"
"NIFTY 50","10 Feb 2025","34825.87"
"NIFTY 50","07 Feb 2025","35091.50"
"NIFTY 50","06 Feb 2025","35143.08"
"NIFTY 50","05 Feb 2025","35277.70"
"NIFTY 50","04 Feb 2025","35341.64"
"NIFTY 50","03 Feb 2025","34778.66"
"NIFTY 50","01 Feb 2025","34958.89"
"NIFTY 50","31 Jan 2025","34998.01"
"NIFTY 50","30 Jan 2025","34603.40"
"NIFTY 50","29 Jan 2025","34474.80"
"NIFTY 50","28 Jan 2025","34165.22"
"NIFTY 50","27 Jan 2025","33974.58"
"NIFTY 50","24 Jan 2025","34366.04"
"NIFTY 50","23 Jan 2025","34534.46"
"NIFTY 50","22 Jan 2025","34460.03"
"NIFTY 50","21 Jan 2025","34265.55"
"NIFTY 50","20 Jan 2025","34741.89"
"NIFTY 50","17 Jan 2025","34531.21"
"NIFTY 50","16 Jan 2025","34660.67"
"NIFTY 50","15 Jan 2025","34514.06"
"NIFTY 50","14 Jan 2025","34458.87"
"NIFTY 50","13 Jan 2025","34324.87"
"NIFTY 50","10 Jan 2025","34838.66"
"NIFTY 50","09 Jan 2025","34979.91"
"NIFTY 50","08 Jan 2025","35221.43"
"NIFTY 50","07 Jan 2025","35249.64"
"NIFTY 50","06 Jan 2025","35113.04"
"NIFTY 50","03 Jan 2025","35690.96"
"NIFTY 50","02 Jan 2025","35964.43"
"NIFTY 50","01 Jan 2025","35301.63"
"NIFTY 50","31 Dec 2024","35155.77"
"NIFTY 50","30 Dec 2024","35155.94"
"NIFTY 50","27 Dec 2024","35406.50"
"NIFTY 50","26 Dec 2024","35312.50"
